Month,#Price,FIRST DIFFERENCE,Second DifferenCE,,,,,,,,,,,,,,
2007-01,12938.08984,,,,,,,,,,,,,,,,1st and 2nd difference
2007-02,13072.09961,134.00977,,,,,,,,,,,,,,,and 1st is choosen do d=1
2007-03,13872.37012,800.27051,666.26074,,,,,,,,,,,,,,
2007-04,14544.45996,672.08984,-128.18067,,,,,,,,,,,,,,
2007-05,14650.50977,106.04981,-566.04003,,,,,,,,,,,,,,
2007-06,15550.99023,900.48046,794.43065,,,,,,,,,,,,,,
2007-07,15318.59961,-232.39062,-1132.87108,,,,,,,,,,,,,,
2007-08,17291.09961,1972.5,2204.89062,,,,,,,,,,,,,,
2007-09,19837.99023,2546.89062,574.39062,,,,,,,,,,,,,,
2007-10,19363.18945,-474.80078,-3021.6914,,,,,,,,,,,,,,
2007-11,20286.99023,923.80078,1398.60156,,,,,,,,,,,,,,
2007-12,17648.71094,-2638.27929,-3562.08007,,,,,,,,,,,,,,
2008-01,17578.7207,-69.99024,2568.28905,,,,,,,,,,,,,,
2008-02,15644.44043,-1934.28027,-1864.29003,,,,,,,,,,,,,,
2008-03,17287.31055,1642.87012,3577.15039,,,,,,,,,,,,,,
2008-04,16415.57031,-871.74024,-2514.61036,,,,,,,,,,,,,,
2008-05,13461.59961,-2953.9707,-2082.23046,,,,,,,,,,,,,,
2008-06,14355.75,894.15039,3848.12109,,,,,,,,,,,,,,
2008-07,14564.53027,208.78027,-685.37012,,,,,,,,,,,,,,
2008-08,12860.42969,-1704.10058,-1912.88085,,,,,,,,,,,,,,
2008-09,9788.05957,-3072.37012,-1368.26954,,,,,,,,,,,,,,
2008-10,9092.719727,-695.339843,2377.030277,,,,,,,,,,,,,,
2008-11,9647.30957,554.589843,1249.929686,,,,,,,,,,,,,,
2008-12,9424.240234,-223.069336,-777.659179,,,,,,,,,,,,,,
2009-01,8891.610352,-532.629882,-309.560546,,,,,,,,,,,,,,
2009-02,9708.5,816.889648,1349.51953,,,,,,,,,,,,,,
2009-03,11403.25,1694.75,877.860352,,,,,,,,,,,,,,
2009-04,14625.25,3222,1527.25,,,,,,,,,,,,,,
2009-05,14493.83984,-131.41016,-3353.41016,,,,,,,,,,,,,,
2009-06,15670.30957,1176.46973,1307.87989,,,,,,,,,,,,,,
2009-07,15666.63965,-3.66992,-1180.13965,,,,,,,,,,,,,,
2009-08,17126.83984,1460.20019,1463.87011,,,,,,,,,,,,,,
2009-09,15896.28027,-1230.55957,-2690.75976,,,,,,,,,,,,,,
2009-10,16926.2207,1029.94043,2260.5,,,,,,,,,,,,,,
2009-11,17464.81055,538.58985,-491.35058,,,,,,,,,,,,,,
2009-12,16357.95996,-1106.85059,-1645.44044,,,,,,,,,,,,,,
2010-01,16429.55078,71.59082,1178.44141,,,,,,,,,,,,,,
2010-02,17527.76953,1098.21875,1026.62793,,,,,,,,,,,,,,
2010-03,17558.71094,30.94141,-1067.27734,,,,,,,,,,,,,,
2010-04,16944.63086,-614.08008,-645.02149,,,,,,,,,,,,,,
2010-05,17700.90039,756.26953,1370.34961,,,,,,,,,,,,,,
2010-06,17868.28906,167.38867,-588.88086,,,,,,,,,,,,,,
2010-07,17971.11914,102.83008,-64.55859,,,,,,,,,,,,,,
2010-08,20069.11914,2098,1995.16992,,,,,,,,,,,,,,
2010-09,20032.33984,-36.7793,-2134.7793,,,,,,,,,,,,,,
2010-10,19521.25,-511.08984,-474.31054,,,,,,,,,,,,,,
2010-11,20509.08984,987.83984,1498.92968,,,,,,,,,,,,,,
2010-12,18327.75977,-2181.33007,-3169.16991,,,,,,,,,,,,,,
2011-01,17823.40039,-504.35938,1676.97069,,,,,,,,,,,,,,
2011-02,19445.2207,1621.82031,2126.17969,,,,,,,,,,,,,,
2011-03,19135.96094,-309.25976,-1931.08007,,,,,,,,,,,,,,
2011-04,18503.2793,-632.68164,-323.42188,,,,,,,,,,,,,,
2011-05,18845.86914,342.58984,975.27148,,,,,,,,,,,,,,
2011-06,18197.19922,-648.66992,-991.25976,,,,,,,,,,,,,,
2011-07,16676.75,-1520.44922,-871.7793,,,,,,,,,,,,,,
2011-08,16453.75977,-222.99023,1297.45899,,,,,,,,,,,,,,
2011-09,17705.00977,1251.25,1474.24023,,,,,,,,,,,,,,
2011-10,16123.45996,-1581.54981,-2832.79981,,,,,,,,,,,,,,
2011-11,15454.91992,-668.54004,913.00977,,,,,,,,,,,,,,
2011-12,17193.55078,1738.63086,2407.1709,,,,,,,,,,,,,,
2012-01,17752.67969,559.12891,-1179.50195,,,,,,,,,,,,,,
2012-02,17404.19922,-348.48047,-907.60938,,,,,,,,,,,,,,
2012-03,17318.81055,-85.38867,263.0918,,,,,,,,,,,,,,
2012-04,16218.53027,-1100.28028,-1014.89161,,,,,,,,,,,,,,
2012-05,17429.98047,1211.4502,2311.73048,,,,,,,,,,,,,,
2012-06,17236.17969,-193.80078,-1405.25098,,,,,,,,,,,,,,
2012-07,17380.75,144.57031,338.37109,,,,,,,,,,,,,,
2012-08,18762.74023,1381.99023,1237.41992,,,,,,,,,,,,,,
2012-09,18505.38086,-257.35937,-1639.3496,,,,,,,,,,,,,,
2012-10,19339.90039,834.51953,1091.8789,,,,,,,,,,,,,,
2012-11,19426.71094,86.81055,-747.70898,,,,,,,,,,,,,,
2012-12,19894.98047,468.26953,381.45898,,,,,,,,,,,,,,
2013-01,18861.53906,-1033.44141,-1501.71094,,,,,,,,,,,,,,
2013-02,18835.76953,-25.76953,1007.67188,,,,,,,,,,,,,,
2013-03,19504.17969,668.41016,694.17969,,,,,,,,,,,,,,
2013-04,19760.30078,256.12109,-412.28907,,,,,,,,,,,,,,
2013-05,19395.81055,-364.49023,-620.61132,,,,,,,,,,,,,,
2013-06,19345.69922,-50.11133,314.3789,,,,,,,,,,,,,,
2013-07,18619.7207,-725.97852,-675.86719,,,,,,,,,,,,,,
2013-08,19379.76953,760.04883,1486.02735,,,,,,,,,,,,,,
2013-09,21164.51953,1784.75,1024.70117,,,,,,,,,,,,,,
2013-10,20791.92969,-372.58984,-2157.33984,,,,,,,,,,,,,,
2013-11,21170.67969,378.75,751.33984,,,,,,,,,,,,,,
2013-12,20513.84961,-656.83008,-1035.58008,,,,,,,,,,,,,,
2014-01,21120.11914,606.26953,1263.09961,,,,,,,,,,,,,,
2014-02,22386.26953,1266.15039,659.88086,,,,,,,,,,,,,,
2014-03,22417.80078,31.53125,-1234.61914,,,,,,,,,,,,,,
2014-04,24217.33984,1799.53906,1768.00781,,,,,,,,,,,,,,
2014-05,25413.7793,1196.43946,-603.0996,,,,,,,,,,,,,,
2014-06,25894.9707,481.1914,-715.24806,,,,,,,,,,,,,,
2014-07,26638.10938,743.13868,261.94728,,,,,,,,,,,,,,
2014-08,26630.50977,-7.59961,-750.73829,,,,,,,,,,,,,,
2014-09,27865.83008,1235.32031,1242.91992,,,,,,,,,,,,,,
2014-10,28693.99023,828.16015,-407.16016,,,,,,,,,,,,,,
2014-11,27499.41992,-1194.57031,-2022.73046,,,,,,,,,,,,,,
2014-12,29182.94922,1683.5293,2878.09961,,,,,,,,,,,,,,
2015-01,29220.11914,37.16992,-1646.35938,,,,,,,,,,,,,,
2015-02,27957.49023,-1262.62891,-1299.79883,,,,,,,,,,,,,,
2015-03,27011.31055,-946.17968,316.44923,,,,,,,,,,,,,,
2015-04,27828.43945,817.1289,1763.30858,,,,,,,,,,,,,,
2015-05,27780.83008,-47.60937,-864.73827,,,,,,,,,,,,,,
2015-06,28114.56055,333.73047,381.33984,,,,,,,,,,,,,,
2015-07,26283.08984,-1831.47071,-2165.20118,,,,,,,,,,,,,,
2015-08,26154.83008,-128.25976,1703.21095,,,,,,,,,,,,,,
2015-09,26656.83008,502,630.25976,,,,,,,,,,,,,,
2015-10,26145.66992,-511.16016,-1013.16016,,,,,,,,,,,,,,
2015-11,26117.53906,-28.13086,483.0293,,,,,,,,,,,,,,
2015-12,24870.68945,-1246.84961,-1218.71875,,,,,,,,,,,,,,
2016-01,23002,-1868.68945,-621.83984,,,,,,,,,,,,,,
2016-02,25341.85938,2339.85938,4208.54883,,,,,,,,,,,,,,
2016-03,25606.61914,264.75976,-2075.09962,,,,,,,,,,,,,,
2016-04,26667.96094,1061.3418,796.58204,,,,,,,,,,,,,,
2016-05,26999.7207,331.75976,-729.58204,,,,,,,,,,,,,,
2016-06,28051.85938,1052.13868,720.37892,,,,,,,,,,,,,,
2016-07,28452.16992,400.31054,-651.82814,,,,,,,,,,,,,,
2016-08,27865.96094,-586.20898,-986.51952,,,,,,,,,,,,,,
2016-09,27941.50977,75.54883,661.75781,,,,,,,,,,,,,,
2016-10,26652.81055,-1288.69922,-1364.24805,,,,,,,,,,,,,,
2016-11,26626.46094,-26.34961,1262.34961,,,,,,,,,,,,,,
2016-12,27655.96094,1029.5,1055.84961,,,,,,,,,,,,,,
2017-01,28743.32031,1087.35937,57.85937,,,,,,,,,,,,,,
2017-02,29620.5,877.17969,-210.17968,,,,,,,,,,,,,,
2017-03,29918.40039,297.90039,-579.2793,,,,,,,,,,,,,,
2017-04,31145.80078,1227.40039,929.5,,,,,,,,,,,,,,
2017-05,30921.60938,-224.1914,-1451.59179,,,,,,,,,,,,,,
2017-06,32514.93945,1593.33007,1817.52147,,,,,,,,,,,,,,
2017-07,31730.49023,-784.44922,-2377.77929,,,,,,,,,,,,,,
2017-08,31283.7207,-446.76953,337.67969,,,,,,,,,,,,,,
2017-09,33213.12891,1929.40821,2376.17774,,,,,,,,,,,,,,
2017-10,33149.35156,-63.77735,-1993.18556,,,,,,,,,,,,,,
2017-11,34056.82813,907.47657,971.25392,,,,,,,,,,,,,,
2017-12,35965.01953,1908.1914,1000.71483,,,,,,,,,,,,,,
2018-01,34184.03906,-1780.98047,-3689.17187,,,,,,,,,,,,,,
2018-02,32968.67969,-1215.35937,565.6211,,,,,,,,,,,,,,
2018-03,35160.35938,2191.67969,3407.03906,,,,,,,,,,,,,,
2018-04,35322.37891,162.01953,-2029.66016,,,,,,,,,,,,,,
